,Movie_title,First_Criterion,Second_Criterion,Third_Criterion,release_date,budget,voting,original_language
0,War Horse,0.0,0.0,0.0,2011-12-25,66000000.0,7.0,en
0,Bodyguard,0.0,0.0,0.0,2011-08-31,130.0,5.2,hi
0,Marty,1.0,0.0,0.0,1955-04-11,343000.0,7.2,en
0,Three Kings,1.0,0.0,0.0,1999-09-27,75000000.0,6.6,en
0,The Rock,0.0,0.0,0.0,1996-06-06,75000000.0,6.9,en
0,Manhunter,1.0,0.0,0.0,1986-08-14,15000000.0,6.8,en
0,Light Sleeper,1.0,1.0,1.0,1992-08-21,5000000.0,5.7,en
0,Tombstone,1.0,1.0,1.0,1993-12-25,25000000.0,7.4,en
0,The Girl with the Dragon Tattoo,1.0,0.0,0.0,2011-12-14,90000000.0,7.2,en
0,Gothika,1.0,1.0,1.0,2003-11-21,40000000.0,5.8,en
0,Manhattan Murder Mystery,1.0,1.0,1.0,1993-08-18,13500000.0,7.1,en
0,The Program,1.0,0.0,0.0,1993-09-24,0.0,6.0,en
0,Beginners,1.0,1.0,0.0,2010-09-11,3200000.0,6.8,en
0,The Other Boleyn Girl,1.0,1.0,1.0,2008-02-28,35000000.0,6.4,en
0,The Wolf of Wall Street,1.0,0.0,0.0,2013-12-25,100000000.0,7.9,en
0,Les Miserables,1.0,0.0,0.0,1952-08-14,0.0,5.6,en
0,Midnight in Paris,1.0,1.0,1.0,2011-05-11,30000000.0,7.4,en
0,The Fighter,1.0,1.0,0.0,2010-12-17,25000000.0,7.2,en
0,The Thing,0.0,0.0,0.0,1982-06-25,15000000.0,7.8,en
0,Minority Report,1.0,0.0,0.0,2002-06-20,102000000.0,7.1,en
0,The Nines,1.0,1.0,1.0,2007-01-21,0.0,6.1,en
0,Sherlock Holmes,1.0,0.0,0.0,2009-12-23,90000000.0,7.0,en
0,The Wild Bunch,1.0,0.0,0.0,1969-06-17,6244087.0,7.7,en
0,Unknown,1.0,0.0,0.0,2006-11-03,3700000.0,6.4,en
0,Dances with Wolves,1.0,1.0,1.0,1990-11-09,22000000.0,7.6,en
0,Slumdog Millionaire,1.0,0.0,0.0,2008-05-12,15000000.0,7.6,en
0,The Perks of Being a Wallflower,1.0,1.0,1.0,2012-09-20,13000000.0,7.7,en
0,The Hospital,1.0,1.0,1.0,1971-12-14,0.0,6.7,en
0,Clash of the Titans,1.0,1.0,0.0,1981-03-15,15000000.0,6.8,en
0,Nashville,1.0,1.0,1.0,1975-06-11,2200000.0,7.2,en
0,Easy A,1.0,1.0,1.0,2010-09-10,8000000.0,6.7,en
0,Rush Hour,1.0,0.0,0.0,1998-09-18,33000000.0,6.8,en
0,Witness,1.0,1.0,1.0,1985-02-08,12000000.0,7.0,en
0,Miami Vice,1.0,1.0,1.0,2006-07-27,135000000.0,5.7,en
0,The Big Lebowski,1.0,1.0,0.0,1998-03-06,15000000.0,7.8,en
0,Ordinary People,1.0,1.0,0.0,1980-09-19,6000000.0,7.4,en
0,Cold Mountain,1.0,1.0,1.0,2003-12-24,79000000.0,6.7,en
0,The Battle of Shaker Heights,1.0,0.0,0.0,2003-08-22,1000000.0,5.6,en
0,Grand Hotel,1.0,0.0,0.0,1932-05-25,700000.0,6.5,en
0,Honeydripper,0.0,0.0,0.0,2007-09-10,0.0,5.3,en
0,Observe and Report,1.0,1.0,1.0,2009-04-10,0.0,5.6,en
0,Blood and Wine,1.0,0.0,0.0,1996-10-03,26000000.0,5.5,en
0,Gattaca,1.0,0.0,0.0,1997-09-07,36000000.0,7.5,en
0,The Day the Earth Stood Still,1.0,1.0,1.0,1951-09-17,1200000.0,7.3,en
0,Heist,1.0,0.0,0.0,2001-11-09,35000000.0,6.3,en
0,The Black Dahlia,1.0,1.0,1.0,2006-09-15,50000000.0,5.7,en
0,Frankenstein,1.0,1.0,0.0,1994-11-04,45000000.0,6.1,en
0,Someone to Watch Over Me,1.0,0.0,0.0,1987-10-09,17000000.0,5.8,en
0,The Three Musketeers,1.0,1.0,1.0,1993-11-11,30000000.0,6.2,en
0,Bruce Almighty,1.0,1.0,1.0,2003-05-23,80000000.0,6.4,en
0,Assassins,1.0,1.0,1.0,1995-10-06,50000000.0,6.0,en
0,Hannibal,1.0,0.0,0.0,2001-02-08,87000000.0,6.4,en
0,The Piano,1.0,1.0,1.0,1993-05-19,7000000.0,7.1,en
0,Runaway Bride,1.0,1.0,1.0,1999-07-30,70000000.0,5.8,en
0,Fair Game,1.0,0.0,0.0,1995-11-03,50000000.0,4.1,en
0,Sister Act,1.0,1.0,1.0,1992-05-28,31000000.0,6.5,en
0,Antz,1.0,1.0,1.0,1998-10-02,60000000.0,6.0,en
0,Autumn in New York,1.0,1.0,1.0,2000-08-11,65000000.0,5.7,en
0,The Losers,1.0,0.0,0.0,2010-04-23,25000000.0,6.2,en
0,Unbreakable,1.0,0.0,0.0,2000-11-13,75000000.0,6.9,en
0,Fruitvale Station,0.0,0.0,0.0,2013-07-25,0.0,7.3,en
0,17 Again,1.0,1.0,1.0,2009-03-11,20000000.0,6.1,en
0,Monkeybone,1.0,1.0,1.0,2001-02-23,75000000.0,4.2,en
0,Water for Elephants,1.0,0.0,0.0,2011-03-15,38000000.0,6.7,en
0,The Getaway,1.0,1.0,1.0,1994-02-11,0.0,5.4,en
0,The Wizard of Oz,1.0,1.0,1.0,1939-08-15,2777000.0,7.4,en
0,Inception,1.0,1.0,1.0,2010-07-14,160000000.0,8.1,en
0,The Matrix,1.0,1.0,0.0,1999-03-30,63000000.0,7.9,en
0,When a Stranger Calls,1.0,0.0,0.0,1979-10-26,0.0,6.3,en
0,Thunderheart,0.0,0.0,0.0,1992-04-03,0.0,6.0,en
0,Insomnia,1.0,0.0,0.0,1997-03-14,0.0,6.6,no
0,Moonstruck,1.0,1.0,1.0,1987-12-18,0.0,6.7,en
0,Avatar,1.0,1.0,1.0,2009-12-10,237000000.0,7.2,en
0,How to Train Your Dragon,1.0,1.0,0.0,2010-03-05,165000000.0,7.5,en
0,Sexual Life,1.0,0.0,0.0,2005-01-05,0.0,4.0,en
0,Wild at Heart,1.0,1.0,1.0,1990-05-01,9500000.0,7.0,en
0,The Breakfast Club,0.0,0.0,0.0,1985-02-15,1000000.0,7.8,en
0,The Believer,1.0,1.0,1.0,2001-01-19,1500000.0,6.8,en
0,The Mechanic,1.0,0.0,0.0,1972-10-06,0.0,6.8,en
0,The American,1.0,1.0,1.0,2010-08-31,20000000.0,5.8,en
0,Five Easy Pieces,1.0,1.0,1.0,1970-09-12,0.0,7.2,en
0,Black Swan,1.0,1.0,1.0,2010-12-02,13000000.0,7.3,en
0,U Turn,1.0,0.0,0.0,1997-10-03,19000000.0,6.5,en
0,Blade II,1.0,0.0,0.0,2002-03-22,54000000.0,6.3,en
0,The Bling Ring,1.0,0.0,0.0,2013-06-12,15000000.0,5.3,en
0,Snow Falling on Cedars,1.0,0.0,0.0,1999-12-22,0.0,6.3,en
0,Life as a House,1.0,1.0,1.0,2001-10-25,18000000.0,7.2,en
0,The Departed,1.0,0.0,0.0,2006-10-05,90000000.0,7.9,en
0,Dogma,1.0,1.0,0.0,1999-11-12,10000000.0,6.8,en
0,Apocalypse Now,1.0,0.0,0.0,1979-08-15,31500000.0,8.0,en
0,Men in Black,1.0,0.0,0.0,1997-07-02,90000000.0,6.9,en
0,Gods and Monsters,1.0,1.0,1.0,1998-01-21,10000000.0,6.8,en
0,Wild Wild West,1.0,1.0,1.0,1999-06-29,170000000.0,5.1,en
0,Saw,1.0,1.0,1.0,2004-10-01,1200000.0,7.2,en
0,Being There,1.0,1.0,1.0,1979-12-19,0.0,7.7,en
0,The Man Who Knew Too Much,1.0,1.0,1.0,1956-06-01,2500000.0,7.3,en
0,Yes Man,1.0,1.0,0.0,2008-12-09,70000000.0,6.4,en
0,Supergirl,1.0,1.0,1.0,1984-11-19,35000000.0,4.7,en
0,Metro,0.0,0.0,0.0,1997-01-16,55000000.0,5.3,en
0,Blood Simple,1.0,0.0,0.0,1984-09-07,1500000.0,7.3,en
0,Tomorrow Never Dies,1.0,0.0,0.0,1997-12-11,110000000.0,6.0,en
0,Tron,0.0,0.0,0.0,1982-07-09,17000000.0,6.6,en
0,The Big White,1.0,0.0,0.0,2005-10-27,18000000.0,6.3,en
0,The Hitch Hikers Guide to the Galaxy,0.0,0.0,0.0,1981-02-09,0.0,7.2,en
0,Rachel Getting Married,1.0,1.0,1.0,2008-10-03,0.0,6.1,en
0,Cruel Intentions,1.0,1.0,1.0,1999-03-05,10500000.0,6.6,en
0,Despicable Me 2,1.0,0.0,0.0,2013-06-25,76000000.0,7.0,en
0,Nine,1.0,1.0,1.0,2009-12-03,80000000.0,5.1,en
0,The Prophecy,1.0,0.0,0.0,1995-09-01,8.0,6.4,en
